3M ESPE Protemp™ Crown Temporization Material[3M ESPE],"Protemp Crown temporization material is indicated for use as a temporary pre-formed crown to cover a single permanent tooth abutment.
-Protemp Crown temporization material can be used to model pre-existing tooth structure and anatomy for use in digital imaging applications.",Dental,Class B medical device,DE0008054,25/11/2011,Not Applicable,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4043B4A38-i11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Protemp™ II[3M Deutschland GmbH],"Protemp II is indicated for use in temporary fabrication of Crowns and Bridges, Partial crowns, Inlays and Onlays",Dental,Class B medical device,DE0002294,2/12/2005,22/10/2018,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3080443-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX Veneer Cement & Try-In Paste[3M ESPE Dental],"RelyX Veneer Cement is a veneer cement system with a customer-preferred delivery and color match system that’s easy to use and easy to clean up. 
RelyX Veneer Cement provides simple and efficient bonding of porcelain, composite and ceramic veneers. Combined with the 3M ESPE RelyX Try-In Paste, the cement can help simplify veneer procedures.",Dental,Class B medical device,DE0010630,10/9/2012,17/06/2013,,"1.  3M ESPE Dental Products 
       [3M ESPE Dental] 3M Center, St. Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C406302C55-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ ARC Adhesive Resin Cement[3M ESPE],"Intended for the final cementation of indirect restorations such as crowns, bridges, Maryland bridges, inlays, onlays, and for endodontic posts. It can also be used for adhesive (bonded) amalgram restorations.",Dental,Class B medical device,DE0001212,2/8/2005,Not Applicable,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3060B09-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ Ceramic Primer[3M ESPE],Intended for improving the bonding of dental adhesive to porcelain and metals.,Dental,Class B medical device,DE0001214,2/8/2005,Not Applicable,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3060B14-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ Fiber Post[3M Deutschland GmbH],"Indicated to be used to support and secure the coronal restoration in case of insufficient residual tooth structure (< 4 mm). RelyX™ Fiber Post may not be used in patients with bruxism or in maxillary anteriors with excessive vertical overlap, or less than 1.5 mm circular coronal tooth structure.",Dental,Class B medical device,DE0005104,24/05/2010,43503,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3180D12-i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ Luting 2 Resin Modified Glass Ionomer Cement[3M ESPE],"Final cementation of:
• Metal and porcelain fused to metal (PFM) crowns and bridges
• Metal inlays and onlays
• Crowns and bridges made with all-alumina or all-zirconia cores such as 3M™ ESPE™ Lava™ or Procera® AllCeram
• Prefabricated and cast post
• Orthodontic bands and appliances
• Porcelain fused to metal (PFM), metal, all-alumina or all-zirconia core restorations on implant abutments",Dental,Class B medical device,DE0001213,2/8/2005,27/06/2013,,"1.  3M ESPE Dental Products 
       [3M ESPE] 2510 Conway Avenue, St Paul, MN 55144-1000 USA, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3060B0E-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ Luting Cement[3M ESPE],Intended for luting indirect restorations to tooth structure.,Dental,Class B medical device,DE0001215,2/8/2005,Not Applicable,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3060B19-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ Temp E Temporary Cement[3M Deutschland GmbH],"RelyX Temp E is indicated for use in:
- Temporary fixation of provisional restorations. ; -Temporary fixation of crowns, bridges, inlays, onlays.",Dental,Class B medical device,DE0003684,28/06/2006,41095,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C30B1E59-i06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ Temp NE Temporary Cement[3M Deutschland GmbH],"RelyX Temp NE is indicated for use in: - Temporary fixation of provisional restorations. ; - Temporary fixation of crowns, bridges, inlays, and onlays.",Dental,Class B medical device,DE0003683,28/06/2006,41095,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C30B1E52-i06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ U100 Self-Adhesive Universal Resin Cement[3M Deutschland GmbH],"Intended for final cementing of inlays, onlays, crowns, bridges, made of all-ceramic, composite or metal and final cementing of posts and screws.",Dental,Class B medical device,DE0005082,17/05/2010,41095,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C318032B-i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Relyx™ Ultimate Clicker™ Adhesive Resin Cement[3M Deutschland GmbH],"RelyX Ultimate Clicker in combination with Single Bond Universal as an adhesive for:
• Final cementation of all-ceramic, composite, or metal inlays, onlays, crowns and bridges; 2-3-unit Maryland bridges and 3-unit inlay/onlay bridges (excluded for patients with bruxism or periodontitis)
• Final cementation of posts and screws
• Final cementation of all-ceramic, or composite veneers
• Final cementation of all-ceramic, composite, or metal restorations on implant abutments.",Dental,Class B medical device,DE0013230,25/06/2013,Not Applicable,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C408210629-i13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ Unicem Self Adhesive Universal Resin Cement[3M Deutschland GmbH],"RelyX Unicem is indicated for use in:
Permanent cementing of ceramic, composite or metal inlays, onlays, crowns, bridges, posts and screws.",Dental,Class B medical device,DE0002298,2/12/2005,16/09/2019,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3080462-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Scotchbond Universal Etchant Etching Gel[3M Deutschland GmbH],Scotchbond™ Universal Etchant is an etching gel intended for etching of enamel and dentin using the acid etching technique.,Dental,Class B medical device,DE0010179,5/9/2012,22/12/2018,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C40629480A-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Scotchbond™ Etchant[3M ESPE],Intended for use in the acid etching technique for dental restorations.,Dental,Class B medical device,DE0003607,8/6/2006,28/06/2006,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C30B0D34-i06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Sinfony™[3M Deutschland GmbH],"Sinfony™ is a light-curing hybrid composite that consists of very fine particles and is characterized by its high strength. The material is used for full coverage of frameworks made of metal or fiber-reinforced materials. Sinfony is also suitable for fabrication of all-composite inlays, onlays, and
individual crowns not requiring a framework. 
Range of Applications: 
Partial or complete veneering of
• crowns and bridges in repair applications
• telescope and cone crowns
• galvanic double crowns
• attachments
• implant supra-constructions
• adhesive bridges
• glass fiber-reinforced crowns and bridges
Fabrication of non-reinforced
• facings
• inlays and onlays
• all-composite single crowns
Customization of
• dentures
• denture teeth
• Protemp temporary restorations
Sinfony Opaquer is also used for:
• intraoral repair of ceramic or composite restorations with exposed metal parts (in combination with the CoJet™ system).",Dental,Class B medical device,DE0500023,23/10/2012,Not Applicable,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C40C1F4E39-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
