Labname,LicenseeName,LicencePeriod,HCICode,UEN,Tel,Fax,Adress,LaboratoryManager,SpecialTests,Url,warning,error
"ANALYTICAL TOXICOLOGY LABORATORY,  ANALYTICAL TOXICOLOGY DIVISION, APPLIED SCIENCES GROUP, HEALTH SCIENCES AUTHORITY",YAO YI JU,"26/08/2018to
									25/08/2023 
										
										
											[ 5 Years ]",9700201,T08GB0015G,62130740,"62130749
								 ","11
						OUTRAM ROAD
						
						
						Singapore 169078",YAO YI JU,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=34730,,
ANG MO KIO X-RAY CLINIC & LABORATORY,Deepti Das,"01/01/2020to
									31/12/2021 
										
										
											[ 2 Years ]",9700004,198905466M,64599806,"65530056
								 ","BLK 
					   
						422
						Ang Mo Kio Ave 3
						
						#01-2516 & 2518
						Singapore 560422",Deepti Das,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=910,,
ANGSANA MOLECULAR & DIAGNOSTICS LABORATORY PTE LTD,Pang Nghee Kheem Brendan,"01/08/2019to
									31/07/2021 
										
										
											[ 2 Years ]",18I0042,201415849D,62789188,"63342387
								 ","2
						ALJUNIED AVENUE 1
						
							FRAMEWORK 2 BUILDING
							
						
						#07-11
						Singapore 389977",Chan Kok Leong Maurice,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46246,,
APEXMED IMAGING,Damodharan Karthikeyan,"30/09/2020to
									29/09/2022 
										
										
											[ 2 Years ]",20X0280,202020644G,93697878,"00000000
								 ","BLK 
					   
						7
						TANJONG PAGAR PLAZA
						
						#02-103
						Singapore 081007",Damodharan Karthikeyan,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=47355,,
ARDENNES IMAGING CENTER,Mohd Iyaz Bin Mohd Shafi,"11/05/2021to
									10/05/2023 
										
										
											[ 2 Years ]",21X0196,202032839H,69803045,"69803046
								 ","60
						PAYA LEBAR ROAD
						
							PAYA LEBAR SQUARE
							
						
						#02-04
						Singapore 409051",MOHD IYAZ BIN MOHD SHAFI,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=47688,,
ASIA HEALTHPARTNERS PTE LTD (IMAGING),GAN YU UNN,"16/04/2020to
									15/04/2022 
										
										
											[ 2 Years ]",12X0002,200601914D,62357888,"68874016
								 ","304 Orchard Road
						
							Lucky Plaza
							
						
						#05-06
						Singapore 238863",GAN YU UNN,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=41661,,
BEDOK X-RAY CENTRE,Ng Hweena,"18/10/2019to
									17/10/2021 
										
										
											[ 2 Years ]",17X0329,201110007C,62458842,"62450343
								 ","214
						BEDOK NORTH STREET 1
						
						#01-165
						Singapore 460214",Ng Hweena,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46048,,
BETHESDA RADIOLOGY CLINIC,Chang Sew Kee,"18/02/2021to
									17/02/2023 
										
										
											[ 2 Years ]",19X0055,199507279M,63378933,"68843633
								 ","3
						TEMASEK BOULEVARD
						
							SUNTEC CITY MALL
							
						
						#03-330
						Singapore 038983",Larios Ma Sarah Bestudio,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46816,,
BIOMEDICS LABORATORY,CHAN HOK LING NORMAN,"30/04/2021to
									24/10/2025 
										
										
											[ 5 Years ]",12I0002,201939424E,67373867,"67333527
								 ","37
						JALAN PEMIMPIN
						
							MAPEX
							
						
						#04-13
						Singapore 577177",Beverly Ticaa Nagasangan,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=41530,,
BJIOS IMAGING,Tandon Ankit Anil,"20/07/2019to
									19/07/2021 
										
										
											[ 2 Years ]",17X0217,201402579K,69086933,"64434933
								 ","1
						FARRER PARK STATION ROAD
						
							CONNEXION
							
						
						#13-15/16/17/18/19/20
						Singapore 217562",FADZILLAH AMRI BIN HASHIM,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=45938,,
BLOOD SERVICES GROUP (CLINICAL LABORATORY),Ang Ai Leen,"19/06/2019to
									18/06/2024 
										
										
											[ 5 Years ]",15I0197,T08GB0015G,62130622,"62238682
								 ","11
						Outram Road
						
						
						Singapore 169078",Marieta Chan,Blood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=45076,,
BOON LAY X-RAY CENTRE,Rupak Dutta,"22/01/2020to
									21/01/2022 
										
										
											[ 2 Years ]",14X0010,200921954C,62665272,"64916597
								 ","BLK 
					   
						221
						BOON LAY PLACE
						
							BOON LAY SHOPPING CENTRE
							
						
						#01-108
						Singapore 640221",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=44480,,
BOSTON IMAGING (RADIOLOGY) & DIAGNOSTIC PTE LTD,Teo Ngee,"18/10/2019to
									17/10/2024 
										
										
											[ 5 Years ]",11X0011,199704820R,62929607,"62920617
								 ","101
						Towner Road
						
						#01-200
						Singapore 322101",Teo Ngee,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=41051,,
CAIRNHILL X-RAY AND DIAGNOSTIC CENTER,Deepti Das,"13/07/2019to
									12/07/2024 
										
										
											[ 5 Years ]",9700222,198905466M,62383610,"65530056
								 ","290
						ORCHARD ROAD
						
							THE PARAGON
							
						
						#15-04
						Singapore 238859",Yi Chengwu,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=36260,,
CENTRE FOR MEDICAL IMAGING,Teo Ngee,"01/10/2019to
									30/09/2021 
										
										
											[ 2 Years ]",11X0007,200500331H,68818000,"68365706
								 ","290
						ORCHARD ROAD
						
							PARAGON
							
						
						#09-23 TO 27, 30/31
						Singapore 238859",Teo Ngee,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=40491,,
CLINICAL DIAGNOSTIC SERVICES LABORATORY,LOH JIN PHANG,"08/09/2019to
									07/09/2024 
										
										
											[ 5 Years ]",9700160,199701777M,64857242,"64857262
								 ","27
						MEDICAL DRIVE
						
							DMERI@DSO
							
						
						#13-00
						Singapore 117510",KOH WEE HONG VICTOR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=970,,
CLINICAL DIAGNOSTIC SERVICES LABORATORY (L12),LOH JIN PHANG,"20/04/2020to
									19/04/2022 
										
										
											[ 2 Years ]",20I0123,199701777M,64857242,"64857262
								 ","BLK 
					   
						27
						MEDICAL DRIVE
						
						#12-19
						Singapore 117510",KOH WEE HONG VICTOR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=47209,,
CLINICAL DIAGNOSTIC SERVICES LABORATORY - MARINA HILL,LOH JIN PHANG,"30/05/2020to
									29/05/2025 
										
										
											[ 5 Years ]",16I0157,199701777M,64504373,"67830742
								 ","11
						STOCKPORT ROAD
						
							BLOCK 6, DSO (MARINA HILL),
							
						
						
						Singapore 117605",HO LAI KWAN,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=45479,,
CLINICAL DIAGNOSTIC SERVICES LABORATORY - MHL3,LOH JIN PHANG,"14/06/2020to
									13/06/2022 
										
										
											[ 2 Years ]",20I0186,199701777M,68712975,"67785324
								 ","11
						STOCKPORT ROAD
						
							BLOCK 6
							
						
						#03-13A
						Singapore 117605",LAU SOK KIANG,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=47233,,
CORDLIFE GROUP LIMITED,Chiew Yoke Fong,"14/01/2021to
									13/01/2023 
										
										
											[ 2 Years ]",9700231,200102883E,62380808,"62381108
								 ","BLK 
					   
						1
						YISHUN INDUSTRIAL STREET 1
						
							A'POSH BIZHUB
							
						
						#06-05/06/07/08/09
						Singapore 768160",Chiew Yoke Fong,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=37110,,
COVANCE (ASIA) PTE. LTD. (COVANCE CENTRAL LABORATORY SERVICES SINGAPORE),Claudine Rigal,"13/03/2021to
									12/03/2023 
										
										
											[ 2 Years ]",19I0078,199608825M,65686588,"65655901
								 ","1
						INTERNATIONAL BUSINESS PARK
						
							THE SYNERGY
							
						
						#03-14A/14B/15
						Singapore 609917",Claudine Rigal,Human Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46839,,
COVANCE (ASIA) PTE. LTD. (COVANCE CENTRAL LABORATORY SERVICES SINGAPORE),Claudine Rigal,"13/03/2021to
									12/03/2023 
										
										
											[ 2 Years ]",19I0080,199608825M,65686588,"65655901
								 ","1
						INTERNATIONAL BUSINESS PARK
						
							THE SYNERGY
							
						
						#04-14/15/16
						Singapore 609917",Claudine Rigal,Human Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46841,,
COVANCE (ASIA) PTE. LTD. (COVANCE CENTRAL LABORATORY SERVICES SINGAPORE),Claudine Rigal,"13/03/2021to
									12/03/2023 
										
										
											[ 2 Years ]",19I0081,199608825M,65686588,"65655901
								 ","1
						INTERNATIONAL BUSINESS PARK
						
							THE SYNERGY
							
						
						#05-12/13/14
						Singapore 609917",Claudine Rigal,Human Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46842,,
CRAWFURD MEDICAL IMAGING,Lim Puay Joo,"24/03/2021to
									23/03/2022 
										
										
											[ 1 Year ]",17X0094,201434599D,68049580,"00000000
								 ","3
						TEMASEK BOULEVARD
						
							SUNTEC CITY MALL
							
						
						#02-482
						Singapore 038983",Chen Da Zhi Peter,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=45812,,
CRYOVIVA (SINGAPORE) LABORATORY SERVICES (UNIT-2),TOH KENG KIAT,"05/12/2019to
									04/12/2021 
										
										
											[ 2 Years ]",18I0357,201320349D,83398482,"67378481
								 ","37
						JALAN PEMIMPIN
						
							MAPEX
							
						
						#03-05-06
						Singapore 577177",KENG KIAT TOH,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46736,,
DEXA LABORATORY,Chotai Niketa Chandrakant,"08/08/2020to
									07/08/2022 
										
										
											[ 2 Years ]",20X0218,201920931M,67219774,"67219774
								 ","101
						IRRAWADDY ROAD
						
							ROYAL SQUARE @ NOVENA
							
						
						#20-08
						Singapore 329565",Tay Yi Ning,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=47266,,
DIAGNOSTIX IMAGING (PAYA LEBAR),Gupta Achint,"23/10/2020to
									22/10/2022 
										
										
											[ 2 Years ]",17X0319,53369704B,67481949,"67474439
								 ","797
						GEYLANG ROAD
						
						#01-01
						Singapore 389679",Rajasvery Rajamanikam,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46038,,
DIAGNOSTIX IMAGING (TAMPINES),Tan Kim Ping,"10/07/2019to
									09/07/2021 
										
										
											[ 2 Years ]",19X0188,201838405K,67860081,"67460078
								 ","BLK 
					   
						801
						TAMPINES AVENUE 4
						
						#01-273
						Singapore 520801",Rajasvery DO Rajamanikam,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46949,,
DIAGNOSTIX IMAGING CENTRE,Achint Gupta,"06/01/2021to
									05/01/2023 
										
										
											[ 2 Years ]",18X0040,201706283K,66943431,"66941431
								 ","10
						SINARAN DRIVE
						
							NOVENA MEDICAL CENTRE
							
						
						#09-02/03
						Singapore 307506",Tan Ming Yee,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=46240,,
DNA PROFILING LABORATORY,Christopher Syn Kiu-Choong,"26/07/2018to
									25/07/2023 
										
										
											[ 5 Years ]",12I0007,T08GB0015G,66841503,"66841504
								 ","3
						BIOPOLIS DRIVE
						
							SYNAPSE
							
						
						#03-14/15
						Singapore 138623",Ang Hwee Chen,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=qKIHkpGsjJoFIT_TJKZM6G2VcVzwcZhsTMjgfvbQsJ53uolBg_i9!-858717092!-2119202606&task=view&toBack=search&pkId=42200,,
"DNA PROFILING LABORATORY, BIOLOGY DIVISION, APPLIED SCIENCES GROUP, HEALTH SCIENCES AUTHORITY",Syn Kiu Choong,"03/08/2018to
									02/08/2023 
										
										
											[ 5 Years ]",9700245,T08GB0015G,62130779,"62130855
								 ","11
						Outram Road
						
						
						Singapore 169078",Crystal Lai Liang-Sung,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=38841,,
DR W.K.KOO & ASSOCIATES IMAGING,Teo Yi-Ming,"03/08/2019to
									02/08/2021 
										
										
											[ 2 Years ]",15X0271,52936325M,67922669,"63971696
								 ","1
						JURONG WEST CENTRAL 2
						
							JURONG POINT
							
						
						#01-16A/B
						Singapore 648886",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=45151,,
DRS JITEN AND CAROLINE X-RAY LABORATORY,OON CHONG LIN,"10/11/2020to
									09/11/2022 
										
										
											[ 2 Years ]",14X0335,53173411X,64666808,"64666838
								 ","10
						JALAN SERENE
						
							SERENE CENTRE
							
						
						#02-01/02
						Singapore 258748",ORACION JENIFFER LOVINO,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=44811,,
DRS KOO & NEOH X-RAY CENTRE,Khor Lih Kin,"14/02/2021to
									13/02/2023 
										
										
											[ 2 Years ]",14X0172,199600446Z,63677077,"62142143
								 ","70
						WOODLANDS AVENUE 7
						
							ADMIRALTY MRT STATION
							
						
						#01-01
						Singapore 738344",Arquisola Marjolyn Osunero,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=44649,,
"DRS. LIM, HOE & WONG RADIOLOGY PTE LTD",Chong Lai Ming June,"23/08/2020to
									22/08/2022 
										
										
											[ 2 Years ]",9700200,T07XL0070L,67926119,"67921170
								 ","1
						JURONG WEST CENTRAL 2
						
							JURONG POINT SHOPPING CENTRE
							
						
						#B1A-19C
						Singapore 648886",MACATANGAY JESSIE GO,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=34652,,
DSC CLINIC CLINICAL LABORATORY,Tan Suat Hoon,"18/11/2019to
									17/11/2021 
										
										
											[ 2 Years ]",15I0390,198801862W,62399453,"62994335
								 ","31
						KELANTAN LANE
						
						#01-16
						Singapore 200031",LEE Sau Chuen,Human Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=45270,,
"DXD CLINLAB, DXD HUB, ACCELERATE TECHNOLOGIES PTE LTD",Jipson Quah,"24/04/2020to
									23/04/2022 
										
										
											[ 2 Years ]",20I0127,199503187D,67792497,"67747569   
								 ","10
						BIOPOLIS ROAD
						
							CHROMOS
							
						
						#03-02
						Singapore 138670",Panneer Selvi,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=47212,,
ECM X-RAY CENTRE PTE LTD,Chang Sew Kee,"04/05/2020to
									03/05/2022 
										
										
											[ 2 Years ]",16X0122,199607484D,67491211,"68427060
								 ","260
						SIMS AVENUE
						
							ECM BUILDING
							
						
						#01-01
						Singapore 387604",Pementera Leopoldo Andrade,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=45444,,
EHI DIAGNOSTICS,Ng Lee Ching,"12/10/2020to
									11/10/2022 
										
										
											[ 2 Years ]",9700247,T08CL0166J,65710470,"67772275
								 ","11
						BIOPOLIS WAY
						
							HELIOS
							
						
						#04-03/04/05
						Singapore 138667",Ng Lee Ching,Malaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=39210,,
